Track 344: r_c =3, RMSE: 64.82, r_c=10 RMSE: 66.74
Track 345: r_c =3, RMSE: 56.34, r_c=10 RMSE: 57.99
Track 346: r_c =3, RMSE: 3.18, r_c=10 RMSE: 2.13
Track 347: r_c =3, RMSE: 10.78, r_c=10 RMSE: 3.43
Track 348: r_c =3, RMSE: 3.84, r_c=10 RMSE: 2.60
Track 349: r_c =3, RMSE: 3.36, r_c=10 RMSE: 34.71
Track 350: r_c =3, RMSE: 9.49, r_c=10 RMSE: 9.90
Track 352: r_c =3, RMSE: 12.66, r_c=10 RMSE: 11.97
Track 354: r_c =3, RMSE: 3.09, r_c=10 RMSE: 2.89
Track 355: r_c =3, RMSE: 67.44, r_c=10 RMSE: 76.34
Track 356: r_c =3, RMSE: 3.44, r_c=10 RMSE: 4.04
Track 357: r_c =3, RMSE: 7.30, r_c=10 RMSE: 5.40
Track 358: r_c =3, RMSE: 15.27, r_c=10 RMSE: 15.08
Track 359: r_c =3, RMSE: 3.69, r_c=10 RMSE: 14.34
Track 360: r_c =3, RMSE: 36.42, r_c=10 RMSE: 36.08
Track 362: r_c =3, RMSE: 43.94, r_c=10 RMSE: 4.15
Track 363: r_c =3, RMSE: 67.44, r_c=10 RMSE: 68.05
Track 365: r_c =3, RMSE: 2.74, r_c=10 RMSE: 2.05
Track 366: r_c =3, RMSE: 2.51, r_c=10 RMSE: 1.43
Track 367: r_c =3, RMSE: 4.44, r_c=10 RMSE: 4.22
Track 368: r_c =3, RMSE: 4.39, r_c=10 RMSE: 6.90
Track 369: r_c =3, RMSE: 32.50, r_c=10 RMSE: 30.21
Track 370: r_c =3, RMSE: 10.57, r_c=10 RMSE: 12.23
Track 371: r_c =3, RMSE: 3.67, r_c=10 RMSE: 16.01
Track 372: r_c =3, RMSE: 13.23, r_c=10 RMSE: 13.21
Track 374: r_c =3, RMSE: 18.74, r_c=10 RMSE: 21.51
Track 375: r_c =3, RMSE: 1.74, r_c=10 RMSE: 3.62
Track 376: r_c =3, RMSE: 16.05, r_c=10 RMSE: 15.83
Track 377: r_c =3, RMSE: 18.16, r_c=10 RMSE: 19.91
Track 378: r_c =3, RMSE: 15.34, r_c=10 RMSE: 14.60
Track 379: r_c =3, RMSE: 2.43, r_c=10 RMSE: 2.79
Track 380: r_c =3, RMSE: 5.45, r_c=10 RMSE: 3.26
Track 381: r_c =3, RMSE: 14.34, r_c=10 RMSE: 15.03
Track 382: r_c =3, RMSE: 17.62, r_c=10 RMSE: 22.26
Track 383: r_c =3, RMSE: 11.72, r_c=10 RMSE: 40.77
Track 384: r_c =3, RMSE: 66.59, r_c=10 RMSE: 68.73
Track 385: r_c =3, RMSE: 5.11, r_c=10 RMSE: 82.40
Track 386: r_c =3, RMSE: 13.77, r_c=10 RMSE: 14.36
Track 387: r_c =3, RMSE: 2.89, r_c=10 RMSE: 4.01
Track 388: r_c =3, RMSE: 6.69, r_c=10 RMSE: 6.04
Track 389: r_c =3, RMSE: 19.82, r_c=10 RMSE: 18.66
Track 390: r_c =3, RMSE: 16.75, r_c=10 RMSE: 16.86
Track 391: r_c =3, RMSE: 31.95, r_c=10 RMSE: 29.41
Track 393: r_c =3, RMSE: 72.97, r_c=10 RMSE: 74.23
Track 394: r_c =3, RMSE: 3.20, r_c=10 RMSE: 4.10
Track 395: r_c =3, RMSE: 19.38, r_c=10 RMSE: 17.90
Track 396: r_c =3, RMSE: 5.57, r_c=10 RMSE: 5.83
Track 397: r_c =3, RMSE: 5.71, r_c=10 RMSE: 5.78
Track 398: r_c =3, RMSE: 1.61, r_c=10 RMSE: 1.65
Track 399: r_c =3, RMSE: 3.52, r_c=10 RMSE: 3.88
Track 400: r_c =3, RMSE: 57.94, r_c=10 RMSE: 59.75
